,time_code,emotion_values.disgust,emotion_values.joy,emotion_values.grief,emotion_values.outofbreath,emotion_values.pain,emotion_values.anger,emotion_values.amazement,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.03331249952316284,0.0,0.021448452025651932,0.0,0.0,0.0,0.01966371014714241,0.0,0.0,0.0,0.013385433703660965
1,0.06662499904632568,0.0,0.02244938164949417,0.0,0.0,0.0,0.020581349730491638,0.0,0.0,0.0,0.014010087586939335
2,0.10000000149011612,0.0,0.02408423088490963,0.0,0.0,0.0,0.022080162540078163,0.0,0.0,0.0,0.01503035519272089
3,0.13331249356269836,0.0,0.02610054612159729,0.0,0.0,0.0,0.023928698152303696,0.0,0.0,0.0,0.01628868468105793
4,0.1666249930858612,0.0,0.028325755149126053,0.0,0.0,0.0,0.025968749076128006,0.0,0.0,0.0,0.01767738163471222
5,0.20000000298023224,0.0,0.03064294345676899,0.0,0.0,0.0,0.028093118220567703,0.0,0.0,0.0,0.01912347786128521
6,0.23331250250339508,0.0,0.03297387808561325,0.0,0.0,0.0,0.030230091884732246,0.0,0.0,0.0,0.020578153431415558
7,0.26662498712539673,0.0,0.035267170518636703,0.0,0.0,0.0,0.032332561910152435,0.0,0.0,0.0,0.022009342908859253
8,0.30000001192092896,0.0,0.03749001398682594,0.0,0.0,0.0,0.034370437264442444,0.0,0.0,0.0,0.023396560922265053
9,0.3333125114440918,0.0,0.039622366428375244,0.0,0.0,0.0,0.036325354129076004,0.0,0.0,0.0,0.024727309122681618
10,0.36662501096725464,0.0,0.04165295138955116,0.0,0.0,0.0,0.038186974823474884,0.0,0.0,0.0,0.025994544848799706
11,0.4000000059604645,0.0045975614339113235,0.04214654117822647,0.0,0.0,0.0,0.03863949328660965,0.0,0.0,0.000755195040255785,0.026607774198055267
12,0.4333125054836273,0.012106911279261112,0.041626088321208954,0.0,0.0,0.0,0.03816234692931175,0.0,0.0,0.0019886803347617388,0.02678144909441471
13,0.46662500500679016,0.021368442103266716,0.04045353829860687,0.0,0.0,0.0,0.03708736598491669,0.0,0.0,0.003509978763759136,0.026664478704333305
14,0.499937504529953,0.03158950060606003,0.03887840360403061,0.0,0.0,0.0,0.03564329445362091,0.0,0.0,0.0051888893358409405,0.026359958574175835
15,0.5333124995231628,0.04223303124308586,0.037071745842695236,0.0,0.0,0.0,0.03398697078227997,0.0,0.0,0.006937194615602493,0.02593899704515934
16,0.5666249990463257,0.052939705550670624,0.035149961709976196,0.0,0.0,0.0,0.032225098460912704,0.0,0.0,0.008695872500538826,0.02545037679374218
17,0.6000000238418579,0.06347350031137466,0.03319139778614044,0.0,0.0,0.0,0.030429508537054062,0.0,0.0,0.010426152497529984,0.024927327409386635
18,0.6333125233650208,0.07368367165327072,0.031247973442077637,0.0,0.0,0.0,0.02864779904484749,0.0,0.0,0.012103274464607239,0.024392247200012207
19,0.6666250228881836,0.08347820490598679,0.0293533094227314,0.0,0.0,0.0,0.02691079117357731,0.0,0.0,0.013712123967707157,0.023860005661845207
20,0.699999988079071,0.09280529618263245,0.027528397738933563,0.0,0.0,0.0,0.025237729772925377,0.0,0.0,0.015244190581142902,0.023340264335274696
21,0.7333124876022339,0.10164044797420502,0.025785554200410843,0.0,0.0,0.0,0.02363990992307663,0.0,0.0,0.016695452854037285,0.022839084267616272
22,0.7666249871253967,0.11136510968208313,0.024131184443831444,0.0,0.0,0.0,0.022123200818896294,0.0,0.0,0.017316855490207672,0.022057391703128815
23,0.800000011920929,0.1214764192700386,0.02256770431995392,0.0,0.0,0.0,0.020689820870757103,0.0,0.0,0.01738365739583969,0.02110806666314602
24,0.8333125114440918,0.13163810968399048,0.021094879135489464,0.0,0.0,0.0,0.01933955028653145,0.0,0.0,0.017086783424019814,0.020068205893039703
25,0.8666250109672546,0.14162948727607727,0.019710736349225044,0.0,0.0,0.0,0.018070582300424576,0.0,0.0,0.016558246687054634,0.018989993259310722
26,0.8999375104904175,0.1513097882270813,0.018412213772535324,0.0,0.0,0.0,0.016880111768841743,0.0,0.0,0.015888923779129982,0.017908288165926933
27,0.9333124756813049,0.1605932116508484,0.017195602878928185,0.0,0.0,0.0,0.015764735639095306,0.0,0.0,0.015141010284423828,0.016845937818288803
28,0.9666249752044678,0.1694316864013672,0.016056837514042854,0.0,0.0,0.0,0.014720727689564228,0.0,0.0,0.014356709085404873,0.01581747643649578
29,1.0,0.1778026968240738,0.014991706237196922,0.0,0.0,0.0,0.013744228519499302,0.0,0.0,0.013564319349825382,0.0148317264392972
30,1.0333125591278076,0.18570086359977722,0.013995987363159657,0.0,0.0,0.0,0.012831364758312702,0.0,0.0,0.012782493606209755,0.013893595896661282
31,1.0666249990463257,0.1931321620941162,0.01306553091853857,0.0,0.0,0.0,0.0119783328846097,0.0,0.0,0.012023205868899822,0.013005340471863747
32,1.100000023841858,0.2001097947359085,0.012196323834359646,0.0,0.0,0.0,0.011181451380252838,0.0,0.0,0.01129382848739624,0.012167432345449924
33,1.133312463760376,0.2063165158033371,0.011384513229131699,0.0,0.0,0.0,0.010437194257974625,0.0,0.0,0.010831732302904129,0.011435518972575665
34,1.1666250228881836,0.2118954211473465,0.010626440867781639,0.0,0.0,0.0,0.009742201305925846,0.0,0.0,0.010553502477705479,0.010787494480609894
35,1.2000000476837158,0.2169525921344757,0.0099186385050416,0.0,0.0,0.0,0.00909329578280449,0.0,0.0,0.010400963015854359,0.010207234881818295
